S. No,First Name,Email ID,Quantity,Events,Attendee Status,College Name,How did you come to know about this event?,Promotional Platforms,Others ,Designation,Year of Graduation,City,CGPA,CGPA Category,Experience with python (Months),Python Experience Level,Family Income,Expected salary (Lac),Expected Salary Category,Leadership- skills
1,Aniket,aniket@xyz.com,1,Art of Resume Building,Attending,D Y Patil Institute Of Mca And Management Akurdi Pune,Email,Email,,Students,2024,Patna,6.7,6.0 - 7.0,7,Expert,7 Lakh+,6,5-10 LPA,yes
2,Dhanshree,dhanshree@xyz.com,1,Art of Resume Building,Attending,Ap Shah Institute Of Technology ,Others,Others,College,Students,2024,Amravati,8.2,8.1-9.0,3,Beginner,0-2 Lakh,7,5-10 LPA,no
3,Dhiraj,dhiraj@xyz.com,1,Art of Resume Building,Attending,Don Bosco College Of Engineering Fatorda Goa,Email,Email,,Students,2023,Kunrool,6.5,6.0 - 7.0,4,Beginner,5-7 Lakh,7,5-10 LPA,no
4,Pooja,pooja@xyz.com,1,Art of Resume Building,Attending,Pillai College Of Engineering New Panvel,Email,Email,,Students,2025,Tirupati,8.7,8.1-9.0,7,Expert,2-5 Lakh,8,5-10 LPA,no
5,Aayush,aayush@xyz.com,1,Art of Resume Building,Attending,St Xavier'S College ,Instagram | LinkedIn | Cloud Counselage Website,Instagram ,,Students,2024,Vijaywada,9.1,9.1-10,3,Beginner,0-2 Lakh,10,5-10 LPA,yes
6,Mrunali,mrunali@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute Of Technology, Mumbai",Whatsapp,Whatsapp,,Students,2026,Eluru,8.9,8.1-9.0,4,Beginner,0-2 Lakh,6,5-10 LPA,no
7,Durga,durga@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Whatsapp,Whatsapp,,Students,2024,Guwahati,7.4,7.1-8.0,7,Expert,2-5 Lakh,6,5-10 LPA,no
8,Ruchit,ruchit@xyz.com,1,Art of Resume Building,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Whatsapp,Whatsapp,,Students,2023,Nagaon,7.3,7.1-8.0,4,Beginner,0-2 Lakh,7,5-10 LPA,no
9,Mayuresh,mayuresh@xyz.com,1,Art of Resume Building,Attending,Government Polytechnic Gandhinagar,Others,Others,College,Students,2024,Tezpur,8.6,8.1-9.0,4,Beginner,0-2 Lakh,7,5-10 LPA,no
10,Rohit,rohit@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,Whatsapp,,Students,2024,Sivasagar,9.2,9.1-10,3,Beginner,0-2 Lakh,8,5-10 LPA,no
11,Nutan,nutan@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute Of Technology, Pune",Email,Email,,Students,2024,Burani,7.8,7.1-8.0,3,Beginner,0-2 Lakh,10,5-10 LPA,yes
12,Yogesh,yogesh@xyz.com,1,Art of Resume Building,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Whatsapp,Whatsapp,,Students,2023,Dehri,7.9,7.1-8.0,5,Intermediate,0-2 Lakh,6,5-10 LPA,yes
13,Pranali,pranali@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini College Of Engineering, Nagpur ",Whatsapp,Whatsapp,,Students,2023,Chapra,9.9,9.1-10,4,Beginner,0-2 Lakh,8,5-10 LPA,no 
14,Gaurang,gaurang@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute Of Technology,LinkedIn,LinkedIn,,Students,2024,Darbhanga,8.1,8.1-9.0,5,Intermediate,0-2 Lakh,11,10-20LPA,no 
15,Saba,saba@xyz.com,1,Art of Resume Building,Attending,New Horizon Institute Of Technology And Management ,Whatsapp,Whatsapp,,Students,2023,Gaya,9.5,9.1-10,7,Expert,0-2 Lakh,20,10-20LPA,yes
16,Apurva ,apurva@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Others,Others,N/A,Students,2024,Haijipur,9.8,9.1-10,5,Intermediate,0-2 Lakh,5,5-10 LPA,yes
17,Tanmay,tanmay@xyz.com,1,Art of Resume Building,Attending,"Mit Academy Of Engineering ,Alandi",Cloud Counselage Website,Cloud Counselage Website,,Students,2025,Kaithar,9.6,9.1-10,5,Intermediate,0-2 Lakh,9,5-10 LPA,no
18,Sumit,sumit@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College Of Engineering,Whatsapp,Whatsapp,,Students,2025,Motihari,6.2,6.0 - 7.0,5,Intermediate,0-2 Lakh,5,5-10 LPA,no
19,Shubham ,shubham@xyz.com,1,Art of Resume Building,Attending,Wilson College ,Others,Others,College,Students,2024,Munger,9.1,9.1-10,7,Expert,0-2 Lakh,21,20-40LPA,yes
20,Shreyas,shreyas@xyz.com,1,Art of Resume Building,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2026,Patna,7.2,7.1-8.0,5,Intermediate,0-2 Lakh,9,5-10 LPA,no
21,Shivani,shivani@xyz.com,1,Art of Resume Building,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Others,Others,College,Students,2023,Muzaffarpur,9.5,9.1-10,5,Intermediate,0-2 Lakh,13,10-20LPA,no
22,Swapnil,swapnil@xyz.com,1,Art of Resume Building,Attending,"Thakur Institute Of Management Studies, Career Development & Research - [Timscdr]",Whatsapp,Whatsapp,,Students,2025,Sasaram,6.8,6.0 - 7.0,3,Beginner,0-2 Lakh,15,10-20LPA,no
23,Manasi ,manasi@xyz.com,1,Art of Resume Building,Attending,Lokmanya Tilak College Of Engineering Koparkhairane Navi Mumbai,Instagram | Whatsapp | Email,Instagram ,,Students,2023,Siwan,8.4,8.1-9.0,7,Expert,0-2 Lakh,14,10-20LPA,no
24,Hemant ,hemant@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute Of Technology, Mumbai",Whatsapp,Whatsapp,,Students,2025,Ambikapur,6.6,6.0 - 7.0,3,Beginner,2-5 Lakh,5,5-10 LPA,yes
25,Gaurav,gaurav@xyz.com,1,Art of Resume Building,Attending,Chhattisgarh Swami Vivekananda Technical University Teaching Department Bhilai,Whatsapp,Whatsapp,,Students,2024,Bhilai,6.7,6.0 - 7.0,7,Expert,2-5 Lakh,20,10-20LPA,yes
26,Harshal,harshal@xyz.com,1,Art of Resume Building,Attending,Adhiyamaan College Of Engineering,Whatsapp,Whatsapp,,Students,2025,Raipur,8.3,8.1-9.0,7,Expert,2-5 Lakh,14,10-20LPA,no 
27,Jitesh,jitesh@xyz.com,1,Art of Resume Building,Attending,Don Bosco College Of Engineering Fatorda Goa,Youtube,Youtube,,Students,2024,Daman,6.3,6.0 - 7.0,7,Expert,2-5 Lakh,16,10-20LPA,yes
28,Dhanshree,dhanshree@xyz.com,1,Art of Resume Building,Attending,Pillai College Of Engineering New Panvel,Whatsapp | Others,Whatsapp ,College,Students,2025,Diu,8.9,8.1-9.0,3,Beginner,2-5 Lakh,9,5-10 LPA,yes
29,Ashish,ashish@xyz.com,1,Art of Resume Building,Attending,St Xavier'S College ,Whatsapp,Whatsapp,,Students,2024,Silvassa,9.5,9.1-10,5,Intermediate,2-5 Lakh,8,5-10 LPA,no
30,Pooja,pooja@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute Of Technology, Mumbai",Whatsapp,Whatsapp,,Students,2023,Delhi,8.5,8.1-9.0,3,Beginner,2-5 Lakh,9,5-10 LPA,no
31,Pooja ,pooja@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Whatsapp,Whatsapp,,Students,2026,New Delhi,8.5,8.1-9.0,3,Beginner,2-5 Lakh,7,5-10 LPA,no
32,Shubham,shubham@xyz.com,1,Art of Resume Building,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Whatsapp,Whatsapp,,Students,2023,Panji,8.8,8.1-9.0,4,Beginner,2-5 Lakh,8,5-10 LPA,yes
33,Prachi,prachi@xyz.com,1,Art of Resume Building,Attending,Government Polytechnic Gandhinagar,Whatsapp,Whatsapp,,Students,2025,Madgaon,7.9,7.1-8.0,7,Expert,0-2 Lakh,6,5-10 LPA,no
34,Priya,priya@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Instagram | Whatsapp,Instagram ,,Students,2024,Ahemdabad,7.5,7.1-8.0,4,Beginner,0-2 Lakh,8,5-10 LPA,no
35,Ashwini ,ashwini@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute Of Technology, Pune",Youtube | Whatsapp | Email,Youtube ,,Students,2023,Amreli,8.3,8.1-9.0,5,Intermediate,2-5 Lakh,21,20-40LPA,no
36,Chetan,chetan@xyz.com,1,Art of Resume Building,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Whatsapp,Whatsapp,,Students,2024,Dwarka,6.4,6.0 - 7.0,3,Beginner,5-7 Lakh,5,5-10 LPA,no
37,Aakanksha ,aakanksha@xyz.com,1,Art of Resume Building,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Whatsapp,Whatsapp,,Students,2025,Godhra,7.5,7.1-8.0,4,Beginner,7 Lakh+,21,20-40LPA,no
38,Aishwarya,aishwarya@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,Whatsapp,,Students,2025,Junagadh,9.9,9.1-10,3,Beginner,0-2 Lakh,9,5-10 LPA,yes
39,Punam,punam@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute Of Technology, Pune",Whatsapp,Whatsapp,,Students,2026,Kheda,7.6,7.1-8.0,4,Beginner,0-2 Lakh,7,5-10 LPA,no 
40,Kanika ,kanika@xyz.com,1,Art of Resume Building,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Facebook,Facebook,,Students,2024,Morbi,7.9,7.1-8.0,7,Expert,0-2 Lakh,5,5-10 LPA,no 
41,Laxmikant,laxmikant@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute Of Technology,Whatsapp,Whatsapp,,Students,2025,Navsari,7.4,7.1-8.0,7,Expert,5-7 Lakh,19,10-20LPA,yes
42,Aayush,aayush@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute Of Technology, Pune",Instagram | LinkedIn | Cloud Counselage Website,Instagram ,,Students,2023,Surat,8.7,8.1-9.0,7,Expert,0-2 Lakh,5,5-10 LPA,no
43,Mrunali,mrunali@xyz.com,1,Art of Resume Building,Attending,"Mit Academy Of Engineering ,Alandi",Whatsapp,Whatsapp,,Students,2023,Valsad,9.5,9.1-10,7,Expert,0-2 Lakh,21,20-40LPA,yes
44,Durga,durga@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College Of Engineering,Whatsapp,Whatsapp,,Students,2026,Ambala,6.9,6.0 - 7.0,3,Beginner,0-2 Lakh,9,5-10 LPA,no
45,Ruchit,ruchit@xyz.com,1,Art of Resume Building,Attending,Wilson College ,Whatsapp,Whatsapp,,Students,2024,Chandigarh,9.2,9.1-10,5,Intermediate,0-2 Lakh,9,5-10 LPA,no
46,Mayuresh,mayuresh@xyz.com,1,Art of Resume Building,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Others,Others,College,Students,2025,Faridabad,6.9,6.0 - 7.0,4,Beginner,0-2 Lakh,17,10-20LPA,no
47,Rohit,rohit@xyz.com,1,Art of Resume Building,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Whatsapp,Whatsapp,,Students,2024,Gurugram,7.2,7.1-8.0,5,Intermediate,0-2 Lakh,13,10-20LPA,no
48,Nutan,nutan@xyz.com,1,Art of Resume Building,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Email,Email,,Students,2023,Hisar,7.5,7.1-8.0,4,Beginner,0-2 Lakh,11,10-20LPA,no
49,Yogesh,yogesh@xyz.com,1,Art of Resume Building,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Whatsapp,Whatsapp,,Students,2025,Jind,6.5,6.0 - 7.0,3,Beginner,0-2 Lakh,15,10-20LPA,yes
50,Pranali,pranali@xyz.com,1,Art of Resume Building,Attending,Government Polytechnic Gandhinagar,Whatsapp,Whatsapp,,Students,2023,Kaithal,7.5,7.1-8.0,4,Beginner,0-2 Lakh,19,10-20LPA,yes
51,Gaurang,gaurang@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",LinkedIn,LinkedIn,,Students,2024,Karnal,6.9,6.0 - 7.0,3,Beginner,0-2 Lakh,18,10-20LPA,no 
